Dates,S&P 500,FTSE 100,Nikkei 225,Hang Seng,NIFTY 50
1990-07-31,356.15,2326.2,31035.66,3438.49,347.44
1990-08-31,322.56,2162.8,25978.37,3087.5,400.06
1990-09-30,306.05,1990.3,20983.5,2760.82,439.72
1990-10-31,304.0,2050.3,25194.1,2990.96,403.66
1990-11-30,322.22,2149.3,22454.63,2965.06,367.69
1990-12-31,330.22,2143.4,23848.71,3024.55,330.86
1991-01-31,343.93,2170.1,23293.14,3243.3,314.36
1991-02-28,367.07,2380.8,26409.22,3552.14,379.94
1991-03-31,375.22,2456.6,26292.04,3745.97,366.45
1991-04-30,375.35,2486.3,26111.25,3588.36,389.01
1991-05-31,389.83,2499.5,25789.62,3707.01,403.18
1991-06-30,371.16,2414.7,23290.96,3668.64,391.96
1991-07-31,387.81,2588.7,24120.75,4009.58,498.71
1991-08-31,395.43,2645.7,22335.87,3998.26,531.97
1991-09-30,387.86,2621.7,23916.44,3956.69,553.79
1991-10-31,392.46,2566.0,25222.28,4038.74,554.4
1991-11-30,375.22,2420.2,22687.35,4149.8,563.17
1991-12-31,417.09,2493.1,22983.77,4297.33,558.63
1992-01-31,408.79,2571.2,22023.05,4601.78,684.93
1992-02-29,412.7,2562.1,21338.81,4929.06,813.13
1992-03-31,403.69,2440.1,19345.95,4938.3,1261.65
1992-04-30,414.95,2654.1,17390.71,5369.57,1105.55
1992-05-31,415.35,2707.6,18347.75,6080.15,826.16
1992-06-30,408.14,2521.2,15951.73,6103.92,855.84
1992-07-31,424.21,2399.6,15910.28,5881.13,767.94
1992-08-31,414.03,2312.6,18061.12,5628.6,850.86
1992-09-30,417.8,2553.0,17399.08,5505.44,938.14
1992-10-31,418.68,2658.3,16767.4,6190.69,809.87
1992-11-30,431.35,2778.8,17683.65,5810.63,726.38
1992-12-31,435.71,2846.5,16924.95,5512.39,761.31
1993-01-31,438.78,2807.2,17023.78,5751.4,785.28
1993-02-28,443.38,2868.0,16953.35,6351.99,821.99
