,S&P 500 vs FTSE 100,S&P 500 vs Nikkei 225,S&P 500 vs Hang Seng,S&P 500 vs NIFTY 50
1990-09-30,-0.013714707145012425,-0.13243927534986877,-0.012537687433752248,-0.05950401271920688
1990-10-31,-0.37496893347485005,-1.4471588243363822,-0.13379398230871364,-2.190140433826351
1990-11-30,-1.4447131125337105,-9.632128924456946,-4.781582954879127,-11.731211160956287
1990-12-31,-1.1406906500299394,-10.08691620296478,-4.895995282278258,-12.187975222535208
1991-01-31,-1.051061592592266,-10.140599056992963,-4.758614046906732,-12.305726569038109
1991-02-28,-0.3691608839004046,-7.78599082932327,-8.755107562528844,-10.202971642457085
1991-03-31,0.2943983427199079,-6.760558875552619,-7.873373926557166,-13.550061588699327
1991-04-30,0.6204370237773496,-7.235798999138742,-5.721152010374463,-11.45778156433507
1991-05-31,-0.0543586684965805,-8.573748568100159,-3.2837890300063064,-10.18066618457302
1991-06-30,-0.6029781035839593,-7.4592654102375535,-0.8021402751938731,-11.219414478213325
1991-07-31,0.15668329063368847,-4.887570165492438,-0.457622671259008,-14.233497133832637
1991-08-31,-0.7481462931593158,-5.8488320643490015,-2.2562849015435136,-9.042889840489623
1991-09-30,-0.406682265884753,-6.7068757106400465,-2.1738369958658703,-9.336056412991587
1991-10-31,0.0244578628844333,-6.251386187360533,-2.4232568535989616,-9.496162208239989
1991-11-30,-1.4611558696674354,-2.7375570430118303,-1.9845388868642746,-7.106496421866979
1991-12-31,0.04239615064122737,-0.14759034616264807,-6.503315106501358,-6.43656374930916
1992-01-31,0.17437399852840707,-0.19219189828006758,-6.520104545533078,-5.749223585841257
1992-02-29,0.2088858748823197,-0.2163857846614499,-6.251552351753364,-5.597612074980665
1992-03-31,0.09321272900795763,-0.5181066685883938,-4.44568366515738,-10.677526399296577
1992-04-30,0.05724584346921968,0.6398961718311301,-4.756397276717442,-1.2318035388568154
1992-05-31,-0.025252113342746907,-0.6937931337758968,-5.411540084771873,-3.091625084645238
1992-06-30,-1.7463663670129415,0.029970711846126485,-1.5807429544331029,0.10500149599712919
1992-07-31,-1.638899032539895,0.20078559419511172,-1.8465461132332495,0.33582201809692624
1992-08-31,-1.8154883637563068,0.6036780028905835,-2.501349767980577,0.6386150393625816
1992-09-30,-1.0781125216428544,0.44944650203305736,-2.4703670068400894,0.5803965988988538
1992-10-31,-1.2882893193517264,0.518821752666817,-2.6093942783488178,0.38542671768551673
1992-11-30,-0.6053954448318855,0.6372952310111902,-3.1011662309791155,0.4739106943993231
1992-12-31,-0.484920203234121,0.36029841869611234,-3.0362424510003128,0.26200352193847426
1993-01-31,-0.4353184150512057,0.34878116109437196,-2.816759463207483,0.25057470067887216
1993-02-28,-0.5165816418411656,0.32083125725914863,-3.1056979247359986,0.2490951178428683
1993-03-31,-0.4151909589982211,0.2763149011597771,-2.9600474656218583,0.09452924192743205
1993-04-30,-0.7162590007089187,0.30340303671733093,-3.9441078001646424,0.3151191313042343
1993-05-31,-0.6685602861647211,0.31587867561652383,-4.312823619321386,0.3475303003277277
1993-06-30,-0.5287276653947903,0.2216444770852359,-3.937424776160661,0.3376388606257644
1993-07-31,-0.44838076354981604,0.2476887174348727,-4.186411426585999,0.3522954388783705
1993-08-31,-0.7607135081072525,0.011232937615733227,-3.2854393187640842,0.29591021566184644
1993-09-30,-0.766103474716609,0.0892653234583294,-2.519518869559772,0.2505365924941067
1993-10-31,-0.839794434195984,0.2302068249383546,-3.5454500325086458,0.235168692442567
1993-11-30,-0.5001127976838826,-0.005724152874773958,-0.4522802609811194,0.48882678070595287
1993-12-31,-1.5875704989508688,-0.4210214112981017,-1.2534601036056532,0.541648053983293
1994-01-31,-1.5355234852541422,0.33708816802625674,-1.5743983805306623,0.5158327978305587
1994-02-28,-1.3774990744439608,0.9694843813962337,-2.4589947401454197,0.2981873274609411
1994-03-31,-1.9778463555460117,1.2291766992208935,-4.168489571066004,0.04533487068363222
1994-04-30,-1.6876385442026298,1.2228967332246974,-3.1818693611559463,-0.15214024664878342
1994-05-31,-0.9761233584723139,1.244851211584705,-3.0855019439859492,-0.19100159840952968
1994-06-30,-1.2900738724692162,1.2325420033623573,-2.2452880014832646,-0.259133724652966
1994-07-31,-1.3558074740089716,1.2581121346707893,-1.1556450024253304,-0.17717950140038757
1994-08-31,-1.5230073455882147,1.301402182258289,-1.3235449500833176,-0.2091904990719277
1994-09-30,-1.305142516362967,1.4595417867831313,-0.9542486259814396,-0.33912245924768025
1994-10-31,-1.0648888192340833,1.4448690166056184,-0.7018742451000661,-0.42335747852219807
1994-11-30,0.04760017425221308,1.6625621930739534,-0.3524752906257117,-0.029243074576405532
1994-12-31,-0.16191184258215752,1.6565419828976184,-0.1625187479310508,0.009141963527674758
1995-01-31,-1.2634098535487999,1.1066031972110209,-0.8318242604032868,-0.10926108300369636
1995-02-28,-1.111771341649076,0.4982573466238226,0.03426036193499293,-0.4498125804677168
1995-03-31,-0.9416422257986251,0.24716095805269178,-0.06621742144302528,-0.663377456087899
1995-04-30,-1.0163623853040649,0.19405726662273493,0.014643407479880688,-0.7750459422019649
1995-05-31,-1.0508495607954638,0.03269585417323504,0.32684253578564304,-0.8998159683863121
1995-06-30,-1.2823525469528751,-0.13814036250951006,0.009705222010049364,-0.9675818556973054
1995-07-31,-1.1756668922181164,-0.17454119070391544,0.37577136505094755,-1.1980732142756922
1995-08-31,-1.163658362215736,-0.33989765986170845,0.32442206070092267,-1.199694043808158
1995-09-30,-1.157865559930757,0.12525310429572672,0.5507772301207317,-1.3418176433142475
1995-10-31,-1.148275506377741,0.15201277398580565,0.6051811960224696,-1.477066557788584
1995-11-30,-1.0928670269137601,0.3864582954362494,0.8206619318787162,-1.5898930235935267
1995-12-31,-1.0571961736823758,0.35051912013119996,0.8434932109340043,-1.6700011052495591
1996-01-31,-0.626184395421725,0.7984567137480729,1.0830898596229113,-1.2092453781010348
1996-02-29,-0.6152728890614634,0.8333405413029911,1.201679352040029,-0.983912014860108
1996-03-31,-0.6490670295142775,0.8831283239992928,1.083226773453748,-0.7734106409089223
1996-04-30,-0.457696964471091,0.8901932859905661,1.1533900698081425,-1.0041114375994533
1996-05-31,-0.5117673787856825,0.864415260013703,0.9530865384807213,-0.56199096810634
1996-06-30,-0.5707397113886459,0.8359666310260652,0.9511863440904613,-0.49378354502202376
1996-07-31,-0.17800113838410403,1.2962694631720173,0.7907277287908951,-0.7896503996416886
1996-08-31,-0.11715469571410286,1.309533167876946,0.6771237782400713,-0.7359416124745366
1996-09-30,-0.019966064836976494,1.6346123222901325,0.8371731803054422,-0.626082270811063
1996-10-31,-0.04273530979120865,1.5087164375636821,0.7605784212504213,-0.9598794104708337
1996-11-30,0.4343224568943205,1.244501620386241,0.6409607962059166,-0.6969923389186453
1996-12-31,0.6281803572740469,1.6334997804882636,0.9229916440142594,0.6156290268136404
1997-01-31,-0.07362142276929329,0.19812781470126967,0.44252714104010826,-0.003664092810606867
1997-02-28,-0.002491932413173359,0.22824416682188375,0.44733884407628377,-0.03938884551930623
1997-03-31,0.4545591201869592,0.2904078145941416,0.7432768412258067,-0.8038911986204116
1997-04-30,1.0927267780810934,0.4220954781901737,1.3307716924763735,-2.10972151474624
1997-05-31,0.9408554135989067,1.9541286202247683,1.3458702576876869,-0.8171902417475517
1997-06-30,1.015341753532223,2.0747771249679676,1.1686488129577204,-0.841985891068996
1997-07-31,0.8129421657607327,2.2752987867532117,1.2727926234497504,0.05175212911160591
1997-08-31,2.570341363477821,3.9201082782340038,1.6941613153801216,0.5880887883829516
1997-09-30,3.442660682197202,3.6151212474350074,1.9040502529656251,0.34450211053654173
1997-10-31,1.603478262075253,4.104270400705455,0.4411949901980433,0.8671406535642384
1997-11-30,1.0567775236881793,3.027633291854,-0.5229076392631482,0.5651053187135512
1997-12-31,1.226292523244904,3.328580840603437,-0.49140308530285504,0.5943868715975807
1998-01-31,2.252138831588196,3.2449051311859463,0.8763965094045423,0.5153851308352865
1998-02-28,2.696829595160466,3.9393423882578715,0.2675031020098223,0.48733738931241305
1998-03-31,2.1986887854762993,3.775727520764606,0.6181281817084716,1.0097232960711757
1998-04-30,2.0875584829407297,3.7035497538454405,0.6828307461175381,1.0537854129333453
1998-05-31,2.135263080255434,3.9394743160651933,0.6070343507651843,1.4614998554259246
1998-06-30,1.4845870744097627,3.751643302342701,-0.07906942226550695,1.2196705631597595
1998-07-31,1.4643524682848437,3.479689268457654,-0.1070710818626669,1.422035706626796
1998-08-31,0.978620132794708,5.296010291475266,2.8361066626868965,3.1100722399242593
1998-09-30,1.1478412685209438,3.8846703541986813,2.6100087544480233,2.465184452854448
1998-10-31,0.9120741990460118,4.021009562641321,2.8344101954205114,1.8797553644182226
1998-11-30,0.7932424160835394,3.9668209002530403,2.915352555729789,1.5043273787629996
1998-12-31,0.41743726463794595,3.4182249598454133,2.5801867369992184,1.7889377763920375
1999-01-31,0.5806491329251956,3.6402773153521197,2.7223926993102108,2.314575791372479
1999-02-28,0.4850159456487202,3.203943312851358,2.1793992670944062,2.2039157315829385
1999-03-31,0.5778499121444763,2.8926494262744518,1.9732212765680797,1.9665377334033451
1999-04-30,0.3529611423173845,2.8722430472146483,1.6895753883271303,1.2664496136073997
1999-05-31,0.0009538953368665171,2.8962638527609053,1.747307658640254,0.6618278761220201
